Official name of position,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard module power ID,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group,nominal HV,old FED ID
FPix_BpI_D3_BLD7_PNL1_RNG2,11B,M-Q-7-21,4297,4,3Bc,3BB,5,PR051,portcard_FPix_BpI_D3_PRT2,PB-53,J11,1,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,FP30,C6,SN112498/0009,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 5,6,FPix +z up right 6,2,9,yellow-9,41/42,3,b,1298,top,,9,3,1,D3-RG3-HV1,,1282
FPix_BpI_D3_BLD6_PNL1_RNG2,12B,M-Q-3-07,4326,3,3Bc,3BB,3,PR051,portcard_FPix_BpI_D3_PRT2,PB-53,J11,1,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,FP30,D5,SN112498/0008,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 5,5,FPix +z up right 6,2,10,yellow-9,17/18,3,t,1298,top,,9,3,1,D3-RG3-HV1,,1282
FPix_BpI_D3_BLD5_PNL1_RNG2,13B,M-Q-3-32,4281,2,3Bc,3BB,1,PR051,portcard_FPix_BpI_D3_PRT2,PB-53,J11,1,dcdc_FPix_BpI_D3_PRT2,Disk3_RG3,CI-A 041,FP30,D4,SN112498/0040,C8,3.02E+13,A,0x7e,0x12,FPix +z up right 5,4,FPix +z up right 6,2,11,yellow-9,41/42,2,b,1297,top,,9,3,1,D3-RG3-HV1,,1281
FPix_BpI_D3_BLD4_PNL1_RNG2,14B,M-M-1-40,4276,5,3Bd,3BA,7,PR047,portcard_FPix_BpI_D3_PRT1,PB-43,J11,1,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P74,D4,SN112498/0040,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,4,FPix +z up right 6,2,11,pink-11,45/46,2,b,1297,top,,9,3,2,D3-RG4-HV1,,1281
FPix_BpI_D3_BLD3_PNL1_RNG2,15B,M-Q-4-07,4274,4,3Bd,3BA,5,PR047,portcard_FPix_BpI_D3_PRT1,PB-43,J11,1,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P74,D3,SN112498/0031,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,3,FPix +z up right 6,2,12,pink-11,21/22,2,t,1297,top,,9,3,2,D3-RG4-HV1,,1281
FPix_BpI_D3_BLD2_PNL1_RNG2,16B,M-Q-6-01,4279,3,3Bd,3BA,3,PR047,portcard_FPix_BpI_D3_PRT1,PB-43,J11,1,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P74,D2,SN112498/0030,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,2,FPix +z up right 6,2,13,pink-11,45/46,1,b,1296,top,,9,3,2,D3-RG4-HV1,,1280
FPix_BpI_D3_BLD1_PNL1_RNG2,17B,M-Q-A-38,4286,2,3Bd,3BA,1,PR047,portcard_FPix_BpI_D3_PRT1,PB-43,J11,1,dcdc_FPix_BpI_D3_PRT1,Disk3_RG4,CI-A 030,P74,D1,SN112498/0036,C8,3.02E+13,B,0x7d,0x12,FPix +z up right 5,1,FPix +z up right 6,2,14,pink-11,21/22,1,t,1296,top,,9,3,2,D3-RG4-HV1,,1280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
